Easting,Northing
2626340,6200945
2625862,6200945
2625923,6207902
2624815,6207902
2624777,6208533
2624051,6208543
2624115,6211921
2624708,6211916
2624708,6210674
2625514,6210674
2625534,6211008
2626967,6210987
2627077,6218068
2628759,6218057
2628807,6219338
2629543,6219338
2626541,6217053
2629761,6217053
2629717,6214638
2630149,6214633
2629973,6204153
2626399,6204194
2626340,6200945
