End Date,Name,Year,bh_type_id,Datum Height,Datum,Start Date,bh_id,Starting point,Side track start depth,Total Depth (m) AH,True Vertical Depth,Operator,Data Custodian,Sample Custodian,Latitude (GD49),Longitude (GD49),Height,Completion Report,License,Basement Reached,UWI,Purpose,Well Content,Status
1989-11-17Z,Waihapa-6,1989,1,228.4,KB,1989-08-16Z,538,Natural ground surface,,3244,3008.8,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.37809444,174.3552778,221.4,1819,38140,,1E+11,exploration,unknown,plugged and abandoned
1994-10-29Z,Toko-2A,1994,1,231,KB,1994-10-12Z,490,From pre-existing hole,2154,3213,,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.31848056,174.3534142,222.9,2024,38141,,1E+11,development,shows,plugged and abandoned
1994-04-29Z,Toko-2,1994,1,231,KB,1994-04-03Z,489,Natural ground surface,,3302,3177.1,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.31848056,174.3534142,222.9,2024,38141,,1E+11,development,shows,plugged and abandoned
1979-08-30Z,Toko-1,1978,1,206,KB,1978-11-17Z,828,Natural ground surface,,4900,,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.32055556,174.3672222,200,761,38034,,1E+11,exploration,dry,plugged and abandoned
1985-07-06Z,Waihapa-1A,1985,1,238.7,KB,1985-05-29Z,531,From pre-existing hole,4294,4942,,Petroleum Corporation Of NZ Exploration  Ltd,NZP&M,MED Core Store,-39.38746944,174.3719417,232.3,1187,38034,,1E+11,exploration,dry,plugged and abandoned
2006-02-09Z,Trapper-A1,2005,1,224.9,RT,2005-11-11Z,653,Natural ground surface,,4875,4864.2,Swift Energy NZ Ltd,NZP&M,MED Core Store,-39.32053647,174.3611638,216,3268,38141,,1.00001E+11,exploration,dry,plugged and abandoned
