Easting,Northing
2628199,6199288
2628512,6199441
2628620,6199864
2628663,6200776
2628495,6201794
2628476,6202482
2628623,6202977
2628603,6204965
2628118,6208162
2627862,6209073
2627484,6209456
2626976,6209413
2626569,6209053
2626550,6208164
2626629,6206181
2626358,6204525
2626332,6203515
2626417,6202875
2626713,6202464
2627028,6201193
2627065,6200381
2627256,6199826
2627795,6199482
